Plot Identifier,Plant Common Name,Plant Order,Plant Family,Plant Genus,Plant Species,Insect Common Name,Insect Order,Insect Family,Insect Genus,Insect Species,Notes,iNat Link,Second iNat link
MK-07,Surinam Cherry,Myrtales,Myrtaceae,Eugenia,uniflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
MK-07,Surinam Cherry,Myrtales,Myrtaceae,Eugenia,uniflora,Zebra Longwing,Lepidoptera,Nymphalidae,Heliconius,charithonia,,,
MK-10,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
LK-01,Shiny-leaved Wild Coffee,Gentianales,Rubiaceae,Psychotria,nervosa,Zebra Longwing,Lepidoptera,Nymphalidae,Heliconius,charithonia,,,
LK-02,Shiny-leaved Wild Coffee,Gentianales,Rubiaceae,Psychotria,nervosa,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
LK-02,Shiny-leaved Wild Coffee,Gentianales,Rubiaceae,Psychotria,nervosa,Ruddy Daggerwing,Lepidoptera,Nymphalidae,Marpesia,petreus,,,
LK-02,Shiny-leaved Wild Coffee,Gentianales,Rubiaceae,Psychotria,nervosa,Horace's Duskywing,Lepidoptera,Hesperiidae,Erynnis,horatius,,,
LK-03,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,,
HS-01,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Umbrella Paper Wasps,Hymenoptera,Vespidae,Polistes,,,,
HS-02,Saw Palmetto,Arecales,Arecaceae,Serenoa,repens,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
HS-03,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Villa lateralis,Diptera,Bombyliidae,Villa,lateralis,,https://www.inaturalist.org/observations/272564452,
HK-02,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Double-banded Plushback,Diptera,Syrphidae,Palpada,agrorum,,,
HK-02,Shiny-leaved Wild Coffee,Gentianales,Rubiaceae,Psychotria,nervosa,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
